Iteration 0: x=34.151977164792044, y=-77.86698268629279, yaw=-0.2110571583433766, v=0.1, steer_angle=0.0, target_idx=2, distance_to_target=0.5641261384700457, cte=-0.0000, heading_error=0.00°
Iteration 73: x=34.1519659775658, y=-77.86691755827492, yaw=2.0161492483882517, v=1.3078812210108586, steer_angle=-0.8726646259971648, target_idx=20, distance_to_target=1.0127595924032016, cte=0.4769, heading_error=-14.34°
Iteration 74: x=34.151965483730265, y=-77.86691630812318, yaw=2.4710965917120644, v=1.2724871599603156, steer_angle=0.8726646259971648, target_idx=21, distance_to_target=0.8836818007718705, cte=0.3470, heading_error=11.16°
Iteration 75: x=34.15196460925661, y=-77.86691547009468, yaw=2.1303995891297394, v=1.2388628019622998, steer_angle=-0.7419614968785281, target_idx=21, distance_to_target=1.2983162725418975, cte=0.7621, heading_error=-13.85°
Iteration 76: x=34.15196403205542, y=-77.86691435661443, yaw=2.4798735894001283, v=1.2069196618641849, steer_angle=0.7676895234542497, target_idx=21, distance_to_target=1.1757994700697763, cte=0.6392, heading_error=4.81°
Iteration 77: x=34.151963195800825, y=-77.86691356956028, yaw=2.0594490858178602, v=1.1765736787709755, steer_angle=-0.8723938238084159, target_idx=21, distance_to_target=1.0568821723011936, cte=0.5210, heading_error=-14.10°
Iteration 78: x=34.151962710401115, y=-77.86691246631669, yaw=2.4697978521099304, v=1.1477449948324268, steer_angle=0.8726646259971648, target_idx=22, distance_to_target=0.9406404585637417, cte=0.4041, heading_error=8.93°
Iteration 79: x=34.15196192039159, y=-77.86691170721048, yaw=2.1962083430735992, v=1.1203577450908053, steer_angle=-0.6832161064771185, target_idx=22, distance_to_target=1.3659008541616917, cte=0.8295, heading_error=-13.99°
Iteration 80: x=34.151961327397174, y=-77.86691071489099, yaw=2.3888615362598924, v=1.124339857836265, steer_angle=0.518943198348222, target_idx=22, distance_to_target=1.2551309089898572, cte=0.7184, heading_error=0.94°
Iteration 81: x=34.151960585656894, y=-77.86690987531045, yaw=2.2382476052899674, v=1.128122864944452, steer_angle=-0.4187116519031623, target_idx=22, distance_to_target=1.1431665247267138, cte=0.6068, heading_error=-9.50°
Iteration 82: x=34.15195993225463, y=-77.86690887347476, yaw=2.309888839035575, v=1.1717167216972293, steer_angle=0.201053477350347, target_idx=22, distance_to_target=1.0305187637683975, cte=0.4939, heading_error=-1.32°
Iteration 83: x=34.15195919605087, y=-77.86690789740432, yaw=2.24385103558655, v=1.213130885612368, steer_angle=-0.17949979985922118, target_idx=23, distance_to_target=0.9134150282470282, cte=0.3773, heading_error=-4.92°
Iteration 84: x=34.15195851512371, y=-77.86690686531465, yaw=2.353282256689186, v=1.2124743413317496, steer_angle=0.2922347883308267, target_idx=23, distance_to_target=1.3286170837011224, cte=0.7919, heading_error=-1.88°
Iteration 85: x=34.15195774538619, y=-77.86690592974283, yaw=2.2540207040683438, v=1.211850624265162, steer_angle=-0.26653400109154785, target_idx=23, distance_to_target=1.2073486182685298, cte=0.6708, heading_error=-7.81°
Iteration 86: x=34.15195703375069, y=-77.86690487332986, yaw=2.30026556882326, v=1.251258093051904, steer_angle=0.12257800716193315, target_idx=23, distance_to_target=1.0860915491789704, cte=0.5494, heading_error=-2.40°
Iteration 87: x=34.15195625998323, y=-77.8669038274152, yaw=2.243512815207193, v=1.2886951883993087, steer_angle=-0.14575540316944505, target_idx=24, distance_to_target=0.9608858867857806, cte=0.4245, heading_error=-4.68°
Iteration 88: x=34.15195553904694, y=-77.86690273392468, yaw=2.354553825403221, v=1.2842604289793433, steer_angle=0.2806054950338723, target_idx=24, distance_to_target=1.1145874327981418, cte=0.8318, heading_error=-1.98°
Iteration 89: x=34.15195472495327, y=-77.86690174695376, yaw=2.2448993719900185, v=1.2800474075303763, steer_angle=-0.2781458207577418, target_idx=25, distance_to_target=0.9861290713322948, cte=0.7034, heading_error=-7.93°
Iteration 90: x=34.15195402425297, y=-77.86690068717496, yaw=1.7994057771213299, v=1.2460450371538574, steer_angle=-0.8726646259971648, target_idx=25, distance_to_target=1.2470314604173514, cte=0.8581, heading_error=-17.45°
Iteration 91: x=34.151953776448934, y=-77.86689940023074, yaw=2.233350474579932, v=1.2137427852961644, steer_angle=0.8726646259971648, target_idx=25, distance_to_target=1.1259965998564863, cte=0.7334, heading_error=6.77°
Iteration 92: x=34.151953120830825, y=-77.86689838480831, yaw=1.8103772296609122, v=1.1830556460313562, steer_angle=-0.8726646259971648, target_idx=25, distance_to_target=1.0064375739292282, cte=0.6300, heading_error=-16.99°
Iteration 93: x=34.151952874149764, y=-77.86689716450991, yaw=2.1599493087379447, v=1.1539028637297883, steer_angle=0.7902867403085483, target_idx=26, distance_to_target=0.8913535076328273, cte=0.5136, heading_error=5.73°
Iteration 94: x=34.15195231037931, y=-77.8668961451759, yaw=1.757300679648501, v=1.126207720543299, steer_angle=-0.8726646259971648, target_idx=26, distance_to_target=1.1264402327407712, cte=0.7773, heading_error=-33.84°
Iteration 95: x=34.151952126641945, y=-77.86689496855476, yaw=1.459322991839953, v=1.099897334516134, steer_angle=-0.7344959644840395, target_idx=26, distance_to_target=1.0344507681384398, cte=0.6661, heading_error=-13.66°
Iteration 96: x=34.15195223436713, y=-77.86689380564228, yaw=1.6463512318555467, v=1.0749024677903274, steer_angle=0.5255726799376514, target_idx=27, distance_to_target=0.927821956279649, cte=0.5587, heading_error=2.02°
Iteration 97: x=34.15195216288555, y=-77.86689266458126, yaw=1.2705350693841098, v=1.051157344400811, steer_angle=-0.8726646259971648, target_idx=27, distance_to_target=1.2568153573047247, cte=0.8199, heading_error=-25.51°
Iteration 98: x=34.15195245561756, y=-77.86689152211717, yaw=1.250810903040041, v=1.0985994771807706, steer_angle=-0.0597751023313714, target_idx=27, distance_to_target=1.1659332082023506, cte=0.7160, heading_error=-6.23°
Iteration 99: x=34.15195277971158, y=-77.8668903402777, yaw=1.2087691864224166, v=1.1436695033217321, steer_angle=-0.1219267661391154, target_idx=27, distance_to_target=1.0576835743578479, cte=0.6080, heading_error=-6.06°
Iteration 100: x=34.15195315828689, y=-77.86688913235227, yaw=1.1766159180020765, v=1.1864860281556455, steer_angle=-0.09008741782697116, target_idx=28, distance_to_target=0.9450118706051422, cte=0.4973, heading_error=-4.77°
Iteration 101: x=34.15195355865607, y=-77.86688796923289, yaw=0.7629004244827908, v=1.1571617267478633, steer_angle=-0.8726646259971648, target_idx=28, distance_to_target=1.3393819193555672, cte=0.8277, heading_error=-18.57°
Iteration 102: x=34.15195429406145, y=-77.86688711969292, yaw=1.0330066475259179, v=1.1293036404104702, steer_angle=0.6730709300476869, target_idx=28, distance_to_target=1.2341765080553828, cte=0.7132, heading_error=2.95°
Iteration 103: x=34.15195480299549, y=-77.86688608857673, yaw=0.7565766106481626, v=1.1028384583899467, steer_angle=-0.6960219703769324, target_idx=28, distance_to_target=1.1211883186375045, cte=0.6038, heading_error=-12.78°
Iteration 104: x=34.15195552867664, y=-77.86688526081987, yaw=0.9003101743691204, v=1.1076965354704493, steer_angle=0.4082312191078097, target_idx=28, distance_to_target=1.0167037112348607, cte=0.4932, heading_error=1.09°
Iteration 105: x=34.15195615133768, y=-77.86688431205553, yaw=0.762383041354133, v=1.112311708696927, steer_angle=-0.39194875693098646, target_idx=29, distance_to_target=0.9061170355319637, cte=0.3882, heading_error=-7.68°
Iteration 106: x=34.15195685934686, y=-77.86688349501037, yaw=0.4736960372767205, v=1.0866961232620806, steer_angle=-0.7247566717732555, target_idx=29, distance_to_target=1.3539226957652863, cte=0.7979, heading_error=-14.44°
Iteration 107: x=34.15195773509423, y=-77.86688295253126, yaw=0.6363484413100464, v=1.0923613170989765, steer_angle=0.46070949549711326, target_idx=29, distance_to_target=1.2514191748757055, cte=0.6900, heading_error=0.30°
Iteration 108: x=34.15195853048447, y=-77.86688224236326, yaw=0.49001718589377935, v=1.0977432512440277, steer_angle=-0.41813681691081594, target_idx=29, distance_to_target=1.1424284015896278, cte=0.5822, heading_error=-9.44°
Iteration 109: x=34.15195943892613, y=-77.86688165681419, yaw=0.5182143728011719, v=1.1428560886818264, steer_angle=0.08205719939443137, target_idx=29, distance_to_target=1.0359557900761236, cte=0.4723, heading_error=-2.67°
Iteration 110: x=34.15196036688568, y=-77.8668810174386, yaw=0.44264382150347503, v=1.1857132842477351, steer_angle=-0.20933517255887463, target_idx=30, distance_to_target=0.9224909610867829, cte=0.3600, heading_error=-5.22°
Iteration 111: x=34.151961308303605, y=-77.8668804782026, yaw=0.029190790277785428, v=1.1564276200353485, steer_angle=-0.8726646259971648, target_idx=30, distance_to_target=1.3588505142401297, cte=0.8056, heading_error=-16.09°
Iteration 112: x=34.15196232463282, y=-77.86688044234275, yaw=0.4326969522755385, v=1.1286062390335811, steer_angle=0.8726646259971648, target_idx=30, distance_to_target=1.2491825950958768, cte=0.6907, heading_error=5.67°
Iteration 113: x=34.15196322607189, y=-77.8668799392139, yaw=0.03864031604432522, v=1.102175927081902, steer_angle=-0.8726646259971648, target_idx=30, distance_to_target=1.136768083977468, cte=0.5835, heading_error=-16.93°
Iteration 114: x=34.151964195678346, y=-77.86687989391817, yaw=0.25284132002587256, v=1.077067130727807, steer_angle=0.5854004029049396, target_idx=30, distance_to_target=1.0327186071402406, cte=0.4735, heading_error=3.34°
Iteration 115: x=34.15196514051942, y=-77.86687959892838, yaw=0.08709627160451888, v=1.0832137741914167, steer_angle=-0.47164814701263946, target_idx=31, distance_to_target=0.9251892695219364, cte=0.3731, heading_error=-8.59°
Iteration 116: x=34.151966091004795, y=-77.86687949864013, yaw=-0.29154282420677297, v=1.0590530854818458, steer_angle=-0.8726646259971648, target_idx=31, distance_to_target=1.2614027190578838, cte=0.8186, heading_error=-21.09°
Iteration 117: x=34.15196701092611, y=-77.86687983222983, yaw=-0.17640435197202764, v=1.0661004312077536, steer_angle=0.34555454444433, target_idx=31, distance_to_target=1.1615228186284594, cte=0.7128, heading_error=-1.33°
Iteration 118: x=34.15196799788647, y=-77.86688004482424, yaw=-0.2615147681142588, v=1.1127954096473658, steer_angle=-0.24962713707266443, target_idx=31, distance_to_target=1.0549913673051146, cte=0.6139, heading_error=-7.74°
Iteration 119: x=34.151969004924055, y=-77.86688037051725, yaw=-0.25164696274752746, v=1.1571556391649975, steer_angle=0.028417810502640584, target_idx=32, distance_to_target=0.9442126171603356, cte=0.5086, heading_error=-3.52°
Iteration 120: x=34.15197005134238, y=-77.86688069561004, yaw=-0.26658239689173985, v=1.1992978572067476, steer_angle=-0.041487786466864185, target_idx=33, distance_to_target=0.8615127786306522, cte=0.8285, heading_error=-6.29°
Iteration 121: x=34.15197106758422, y=-77.86688103095786, yaw=-0.6846494252513413, v=1.1693329643464103, steer_angle=-0.8726646259971648, target_idx=33, distance_to_target=1.2322031297406886, cte=0.7418, heading_error=-20.64°
Iteration 122: x=34.15197188470208, y=-77.86688183704538, yaw=-0.4893993540927429, v=1.1708663161290898, steer_angle=0.5073283885405437, target_idx=33, distance_to_target=1.1201287888585236, cte=0.6251, heading_error=1.58°
Iteration 123: x=34.15197281687353, y=-77.86688243699628, yaw=-0.6467901653157648, v=1.1723230003226353, steer_angle=-0.4207882561829962, target_idx=33, distance_to_target=1.003793151162858, cte=0.5173, heading_error=-8.78°
Iteration 124: x=34.15197368945467, y=-77.86688323323837, yaw=-0.5635402122908426, v=1.2137068503065036, steer_angle=0.2247746971334494, target_idx=34, distance_to_target=0.8868042959921862, cte=0.4047, heading_error=-0.29°
Iteration 125: x=34.1519745904367, y=-77.86688392119994, yaw=-0.7855998921709829, v=1.1830215077911783, steer_angle=-0.5590918213728988, target_idx=34, distance_to_target=1.287681980409073, cte=0.7658, heading_error=-11.88°
